Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Devon Inn Hotel,http://www.devoninnhotel.ie,+353(0)6984122,-9.179745689,52.39483047,Limerick,Templeglantine,Republic of Ireland,Hotel
Castle Arms Hotel,http://www.castlearmshotel.ie,+353(0)578736117,-7.396035831,52.84537189,Laois,Durrow,Republic of Ireland,Hotel
Roundstone House Hotel,https://www.facebook.com/roundstonehouse/,+353(0)9535864,-9.919040298,53.395151,Galway,Roundstone,Republic of Ireland,Hotel
Kenmare Bay Hotel & Resort,http://www.kenmarebayhotel.com,+353(0)646641300,-9.591345724,51.88302456,Kerry,Kenmare,Republic of Ireland,Hotel
Greenhills Hotel,http://www.greenhillsgroup.com,+353(0)61453033,-8.671157495,52.67371159,Limerick,Limerick City,Republic of Ireland,Hotel
Fitzgeralds Hotel,http://www.fitzgeraldshotel.com,+353(0)719841336,-8.284494546,54.47662929,Donegal,Bundoran,Republic of Ireland,Hotel
White Lady Hotel,http://www.whiteladyhotelkinsale.ie,+353(0)214772737,-8.519749898,51.70143657,Cork,Kinsale,Republic of Ireland,Hotel
Riverbank House Hotel,http://www.riverbankhousehotel.com,+353(0)539123611,-6.455005044,52.34468854,Wexford,,Republic of Ireland,Hotel
Mountshannon Hotel,http://www.mountshannon-hotel.ie,+353(0)61927162,-8.428158697,52.93183914,Clare,Mountshannon,Republic of Ireland,Hotel
Killarney Avenue Hotel,http://www.killarneyavenue.com,+353(0)646632522,-9.506268775,52.05752643,Kerry,Killarney,Republic of Ireland,Hotel
Blarney Woollen Mills Hotel,http://www.blarneywoollenmillshotel.com,+353(0)214385011,-8.565252589,51.93293105,Cork,Blarney,Republic of Ireland,Hotel
Town House Hotel,http://www.thetownhousehotel.ie,+353(0)45879226,-6.671920335,53.21625044,Kildare,Naas,Republic of Ireland,Hotel
Sancta Maria Hotel,http://www.sancta-maria.ie,+353(0)657081041,-9.319108983,52.93756026,Clare,Lahinch,Republic of Ireland,Hotel
Teach Óstan na Pairce Hotel,http://www.parklodgehotel.ie,+353(0)91553159,-9.264498484,53.24702014,Galway,Spiddal,Republic of Ireland,Hotel
Tinakilly Country House and Restaurant,http://www.tinakilly.ie,+353(0)40469274,-6.06691249,52.99618228,Wicklow,Rathnew,Republic of Ireland,Hotel
Sligo Southern Hotel,https://www.sligosouthernhotel.ie/,3.53719E+11,-8.48277647,54.27146424,Sligo,,Republic of Ireland,Hotel
"Oranmore Lodge Hotel, Conference and Leisure Centre",https://www.facebook.com/oranmorelodgehotel?ref=hl,+353(0)91794400,-8.930882414,53.27602566,Galway,Oranmore,Republic of Ireland,Hotel
Blarney Castle Hotel,http://www.blarneycastlehotel.com,+353(0)214385116,-8.567189848,51.9325031,Cork,Blarney,Republic of Ireland,Hotel
Adare Manor Hotel & Golf Resort,https://www.adaremanor.com/,35361605200,-8.7778256,52.5641886,Limerick,Adare,Ireland,Hotel
Danaghers Hotel,http://danaghershotelcong.wix.com/danaghers#!contact/c24vq,+353(0)949546028,-9.286207,53.540546,Mayo,Cong,Republic of Ireland,Hotel
Lough Inagh Lodge Hotel,http://www.loughinaghlodgehotel.ie,+353(0)9534706,-9.741996834,53.52079805,Galway,Recess,Republic of Ireland,Hotel
Harbour View Hotel,http://www.harbourhotel.ie,+353(0)45879145,-6.667711507,53.21620728,Kildare,Naas,Republic of Ireland,Hotel
Cill Aodain Court Hotel,http://www.cillaodain.ie,+353(0)949381761,-8.998056,53.85042,Mayo,Kiltimagh,Republic of Ireland,Hotel
The Carraig,http://www.carraighotel.com,+353(0)51641455,-7.412455321,52.34537351,Tipperary,,Republic of Ireland,Hotel
Bay View Hotel (Killybegs),http://www.bayviewhotel.ie,+353(0)749731950,-8.442173954,54.63680048,Donegal,Killybegs,Republic of Ireland,Hotel
Walter Raleigh Hotel,http://www.walterraleighhotel.com,+353(0)2492011,-7.843490391,51.94677001,Cork,Youghal,Republic of Ireland,Hotel
River Island Hotel,http://www.riverislandhotel.com/,+353(0)667142555,-9.464129475,52.23068698,Kerry,Castleisland,Republic of Ireland,Hotel
Dunmore House Hotel,http://www.dunmorehousehotel.ie,+353(0)238833352,-8.867678904,51.5902265,Cork,Muckross,Republic of Ireland,Hotel
Park House Hotel,http://www.parkhousehotel.ie,+353(0)91564924,-9.046731097,53.27447413,Galway,Eyre Square,Republic of Ireland,Hotel
Dinn Rí Hotel,http://www.dinnri.com,+353(0)599133111,-6.930033732,52.83584625,Carlow,Carlow Town,Republic of Ireland,Hotel
Langton House,http://www.langtons.ie,+353(0)567765133,-7.248266656,52.65327993,Kilkenny,Kilkenny City,Republic of Ireland,Hotel
Dunbrody Country House Hotel,http://www.dunbrodyhouse.com,+353(0)51389600,-6.942125,52.23985,Wexford,Arthurstown,Republic of Ireland,Hotel
Ballyglass Country House,http://www.ballyglasshouse.com,+353(0)6252104,-8.165632,52.442009,Tipperary,,Republic of Ireland,Hotel
Limerick City Hotel,https://www.limerickcityhotel.ie/,35361207000,-8.6334112,52.6610648,Limerick,,Ireland,Hotel
Fennessys Hotel,http://www.fennessyshotel.com,+353(0)526123680,-7.702124,52.354589,Tipperary,Clonmel,Republic of Ireland,Hotel
The Address Cork,https://www.theaddresscork.com/,+353(0)214539000,-8.459401,51.905133,Cork,Cork City,Republic of Ireland,Hotel
Downhill Inn Hotel,http://www.downhillinn.ie,+353(0)9673444,-9.135038,54.119429,Mayo,Ballina,Republic of Ireland,Hotel
Killarney Court Hotel,http://www.killarneycourthotel.com/,+353(0)646637070,-9.515446,52.068823,Kerry,Killarney,Republic of Ireland,Hotel
Meadowlands Hotel,https://www.meadowlandshotel.com/,+353(0)667180444,-9.691311,52.27621,Kerry,Tralee,Republic of Ireland,Hotel
Bella Vista Hotel,http://www.bellavistahotel.ie,+353(0)214812450,-8.297062,51.851385,Cork,Cobh,Republic of Ireland,Hotel
Leenane Hotel,http://leenanehotel.com/,+353(0)9542249,-9.70493,53.594557,Galway,Leenane,Republic of Ireland,Hotel
The Wilton Hotel,http://www.wiltonhotelbray.com,+353(0)12760258,-6.100199,53.186639,Wicklow,Bray,Republic of Ireland,Hotel
Grand Central Hotel,http://www.grandcentralbundoran.com/,+353(0)719842722,-8.276529,54.47987,Donegal,Bundoran,Republic of Ireland,Hotel
WatersEdge Hotel,http://www.watersedgehotel.ie,+353(0)214815566,-8.297908,51.849027,Cork,Cobh,Republic of Ireland,Hotel
Brook Lodge Hotel,http://www.brooklodgekillarney.com,+353(0)646631800,-9.512499,52.060785,Kerry,Killarney,Republic of Ireland,Hotel
Riverside Hotel Killarney,http://www.riversidehotelkillarney.com,+353(0)646639200,-9.507321,52.049159,Kerry,Killarney,Republic of Ireland,Hotel
Ballina Manor Hotel,http://ballinamanorhotel.ie/,+353(0)9680900,-9.15404,54.112587,Mayo,Ballina,Republic of Ireland,Hotel
Mulcahy's Hotel,http://www.mulcahys.ie,+353(0)526125054,-7.70171,52.353766,Tipperary,Clonmel,Republic of Ireland,Hotel
An Crúiscín Lán,http://www.cruiscin.ie,+353(0)91553148,-9.306534,53.243982,Galway,Spiddal,Republic of Ireland,Hotel
Travelodge Limerick,http://www.travelodge.ie/hotels/229/Limerick-Ennis-Road-hotel,35361457000,-8.6756236,52.673521,Limerick,Knock,Ireland,Hotel
Woodenbridge Lodge,http://www.woodenbridgehotel.com,+353(0)40235146,-6.234952878,52.83232292,Wicklow,Woodenbridge,Republic of Ireland,Hotel
The Pilgrims Rest Hotel,http://www.thepilgrimsrest.com,+353(0)5852917,-7.848526,52.183216,Waterford,Cappoquin,Republic of Ireland,Hotel
Downings Bay Hotel,http://www.downingsbayhotel.com,+353(0)749155586,-7.835622,55.194587,Donegal,Downings,Republic of Ireland,Hotel
Quality Hotel Youghal,http://www.qualityyoughal.com,+353(0)2493050,-7.872633,51.924996,Cork,Youghal,Republic of Ireland,Hotel
Malinbeg Hostel,http://www.malinbeghostel.com,+353(0)749730006,-8.729419105,54.7079734,Donegal,,Republic of Ireland,Hostel
Courtbrack Accommodation,,+353(0)61302500,-8.646733,52.655444,Limerick,Limerick City,Republic of Ireland,Hostel
"Sheilas Tourist Hostel
",http://www.sheilashostel.ie,+353(0)214505562,-8.465951,51.902614,Cork,Cork City,Republic of Ireland,Hostel
Cashel Holiday Hostel,http://www.cashelhostel.com,+353(0)6262330,-7.887698,52.516,Tipperary,Cashel,Republic of Ireland,Hostel
Old Monastery Hostel,http://www.oldmonasteryhostel.com,+353(0)872349543,-9.946109,53.551973,Galway,Letterfrack,Republic of Ireland,Hostel
Killarney Railway Hostel,http://www.killarneyhostel.com,+353(0)646635299,-9.503186,52.060525,Kerry,Killarney,Republic of Ireland,Hostel
Rainbow Hostel,,+353(0)657074415,-9.370623,53.019764,Clare,Doolin,Republic of Ireland,Hostel
Dempsey's Hostel,http://www.hostelkinsale.com,+353(0)214772124,-8.514567,51.708141,Cork,Kinsale,Republic of Ireland,Hostel
Killarney Lakeland Cottages,http://www.killarneycottages.com,+353(0)646633290,-9.481653,52.030964,Kerry,Muckross,Republic of Ireland,Self Catering Accommodation
Quilty Holiday Cottages,http://www.quiltycottages.com,+353(0)657087095,-9.443341319,52.83060004,Clare,Quilty,Republic of Ireland,Self Catering Accommodation
Kinsale Holiday Village,http://www.kinsaleholidayvillage.com,+353(0)214772488,-8.516539,51.709711,Cork,Kinsale,Republic of Ireland,Self Catering Accommodation
Ardnagashel Estate,https://twitter.com/search?q=rentacottageIRE&src=typd,+353(0)61411109,-9.472418,51.726924,Cork,Bantry,Republic of Ireland,Self Catering Accommodation
Dingle Marina Cottages,http://www.dinglecottages.com,+353(0)669150200,-10.281096,52.140331,Kerry,Dingle,Republic of Ireland,Self Catering Accommodation
Carraroe Holiday Village,http://www.carraroeholidaycottages.ie,+353(0)91551170,-9.601626,53.264241,Galway,Lettermore,Republic of Ireland,Self Catering Accommodation
Fairgreen Holiday Cottages,http://www.fairgreencottages.com,+353(0)749521247,-8.365927,54.953188,Donegal,Dungloe,Republic of Ireland,Self Catering Accommodation
Tra Na Rosann,https://anoige.ie/tra-na-rosann/,+353(0)749155374,-7.804096,55.229375,Donegal,Downings,Republic of Ireland,Hostel
Knockree Youth Hostel,http://www.facebook.com/anoige,+353(0)12767981,-6.211837,53.17841,Wicklow,Knockree,Republic of Ireland,Hostel
Fortview House,http://www.fortview.com,+353(0)494338834,-7.340481,54.074129,Cavan,Cloverhill,Republic of Ireland,B&B
Park House,http://www.parkhouse.ie,+353(0)61369902,-8.810057,52.706119,Clare,Bunratty,Republic of Ireland,B&B
Glencarrig,https://www.facebook.com/glencarrig,+353(0)659058209,-9.721323,52.592004,Clare,Carrigaholt,Republic of Ireland,B&B
Lakefield Lodge,http://www.lakefieldlodgebandb.com,+353(0)656837675,-9.061977,52.939716,Clare,Corofin,Republic of Ireland,B&B
Churchfield,http://www.doolinaccommodations.com,+353(0)657074209,-9.371226,53.019892,Clare,Doolin,Republic of Ireland,B&B
Glasha Meadows,http://www.glashameadows.com,+353(0)657074443,-9.361815,53.033792,Clare,Doolin,Republic of Ireland,B&B
Doonagore Farmhouse,http://www.doolin-accommodation.com,+353(0)657074170,-9.388619,52.998352,Clare,Doolin,Republic of Ireland,B&B
Newpark House,http://www.newparkhouse.com,+353(0)656821233,-8.957143,52.854165,Clare,Ennis,Republic of Ireland,"B&B,B&Bs,Historic House"
Glen Cove,http://www.glencove.clareireland.net,+353(0)656824561,-8.945913,52.820018,Clare,Clarecastle,Republic of Ireland,B&B
Crosswinds,http://www.crosswinds-lisdoonvarna.com,+353(0)657074469,-9.320519967,53.01677691,Clare,Lisdoonvarna,Republic of Ireland,B&B
Clonmore Lodge,http://www.clonmorelodge.com,+353(0)657087020,-9.455001,52.799763,Clare,Quilty,Republic of Ireland,B&B
Channel View,http://www.channelviewbb.com,+353(0)2820440,-9.357086,51.484705,Cork,Baltimore,Republic of Ireland,B&B
Rathmore House,http://www.baltimorebb.com,+353(0)2820362,-9.342825,51.512831,Cork,Baltimore,Republic of Ireland,B&B
Doire Liath,http://www.bantrybedandbreakfasts.com/,+353(0)2750223,-9.446768,51.685186,Cork,Newtown,Republic of Ireland,B&B
Sea Mount B&B,http://www.seamountfarm.com,+353(0)2761226,-9.624338,51.633241,Cork,Bantry,Republic of Ireland,B&B
Sandycove House,http://www.sandycovehouse.com,+353(0)2836223,-9.198747,51.509557,Cork,Castletownshend,Republic of Ireland,B&B
Ballard House,,+353(0)238833865,-8.846567,51.637972,Cork,Clonakilty,Republic of Ireland,B&B
Mountview House,http://www.mountviewcobh.blogspot.com,+353(0)214814260,-8.291899,51.853284,Cork,Cobh,Republic of Ireland,B&B
Caroleville,http://www.caroleville.com,+353(0)214294321,-8.430133,51.893781,Cork,Cork City,Republic of Ireland,B&B
Number Forty Eight,http://www.bbcorknumberfortyeight.com,+353(0)214505790,-8.456336,51.902333,Cork,Cork City,Republic of Ireland,B&B
Island View House,https://www.islandviewhouse.net/,+353(0)2763081,-9.542959,51.751765,Cork,Glengarriff,Republic of Ireland,B&B
The Heron's Cove,http://www.heronscove.com,+353(0)2835225,-9.708978,51.495923,Cork,West Cork,Republic of Ireland,B&B
Glenlohane,https://www.facebook.com/GlenlohaneCountryHouse,+353(0)2950014,-8.850719,52.177136,Cork,Kanturk,Republic of Ireland,"B&B,B&Bs,Historic House"
Greenmount House,,+353(0)214772674,-8.49824,51.708497,Cork,Kinsale,Republic of Ireland,B&B
Fountain House,http://www.fountainhousemacroom.com,+353(0)2643813,-8.927426,51.874832,Cork,Macroom,Republic of Ireland,B&B
Findus House,http://www.findushouse.ie,+353(0)2640023,-9.074286,51.890201,Cork,Macroom,Republic of Ireland,B&B
Sundown House,http://www.sundownhousebb.com,+353(0)214667375,-8.084723,51.920977,Cork,Castlemartyr,Republic of Ireland,B&B
Marguerites,http://www.margueritesskibbereen.com,+353(0)2821166,-9.278006,51.541257,Cork,Skibbereen,Republic of Ireland,B&B
Elm Brook,,+353(0)719852615,-8.185912,54.499024,Donegal,Ballyshannon,Republic of Ireland,B&B
Westbrook House,http://www.westbrookhouse.ie,+353(0)749361067,-7.455658,55.142057,Donegal,Buncrana,Republic of Ireland,B&B
Mevagh House,http://www.mevaghhouse.com,+353(0)749154708,-7.785543,55.176324,Donegal,Carrigart,Republic of Ireland,B&B
Trean House,https://www.facebook.com/treanhouse,+353(0)749367121,-7.069722038,55.26779442,Donegal,Inishowen,Republic of Ireland,"B&B,Welcome Standard"
The Bluestack Centre,http://www.donegalbluestacks.ie,+353(0)749735564,-8.18970328,54.69265312,Donegal,Donegal Town,Republic of Ireland,"Hostel,Welcome Standard"
Ardlenagh View,http://www.ardlenaghview.com,+353(0)749721646,-8.117911,54.633358,Donegal,,Republic of Ireland,B&B
Avalon,http://www.avalonbandbglenties.com,+353(0)749551292,-8.279082,54.790222,Donegal,Glenties,Republic of Ireland,B&B
Gartan Outdoor Education and Training Centre,http://www.gartan.com,+353(0)749137032,-7.90792375,54.99416048,Donegal,Letterkenny,Republic of Ireland,"Hostel,Welcome Standard"
Ardlee,http://www.ardleehouse.ie,+353(0)749121943,-7.718962,54.957411,Donegal,Letterkenny,Republic of Ireland,B&B
An Duna Ri,https://an-duna-ri-bed-breakfast.business.site/,+353(0)646633230,-9.485233163,52.01926456,Kerry,Muckross,Republic of Ireland,B&B
Lissyclearig Thatched Cottage,http://www.lissyclearigthatchedcottage.com,+353(0)646642562,-9.595596,51.900625,Kerry,Kenmare,Republic of Ireland,B&B
Clai Ban,http://www.claiban-house.com/,+353(0)9961111,-9.671875,53.12292,Galway,Aran Islands,Republic of Ireland,B&B
Hazelbrook,http://www.hazelbrook-connemara.net,+353(0)9544646,-10.11602,53.555386,Galway,Cleggan,Republic of Ireland,B&B
The Ocean Wave,http://www.oceanwave-bedandbreakfast.com,+353(0)9544775,-10.139026,53.55801,Galway,Cleggan,Republic of Ireland,B&B
Cnoc Breac,http://www.cnocbreac.com,+353(0)9544688,-10.124743,53.557392,Galway,Cleggan,Republic of Ireland,B&B
Ben Breen House,http://www.benbreenhouse.ie/,+353(0)9541171,-10.029912,53.543151,Galway,Moyard,Republic of Ireland,B&B
Rockmount House,http://www.rockmounthouse.com,+353(0)9521763,-10.098997,53.498581,Galway,Clifden,Republic of Ireland,B&B
Sea Mist House,http://www.seamisthouse.com,+353(0)9521441,-10.024337,53.488219,Galway,Clifden,Republic of Ireland,"B&B,B&Bs,Historic House"
The Wilderness,http://www.thewildernessbandb.com,+353(0)861035699,-9.900527,53.469666,Galway,Clifden,Republic of Ireland,B&B
Cregg House,https://www.bandbireland.com/accommodation/26162/cregg-house,+353(0)9521326,-9.977001,53.484326,Galway,Clifden,Republic of Ireland,B&B
Corrib View,http://www.corribviewfarm.com,+353(0)91791114,-9.05873,53.368517,Galway,Annaghdown,Republic of Ireland,B&B
Abbey View,,+353(0)91524488,-9.09941,53.297916,Galway,Galway City,Republic of Ireland,B&B
Woodhaven Lodge,http://woodhavenlodge.com/,+353(0)91753806,-9.004623,53.276836,Galway,Merlin Park,Republic of Ireland,B&B
The Western Way,http://www.westernwaybb.com,35391552475,-9.3198572,53.4302875,Galway,Oughterard,Ireland,B&B
Crossriver,https://www.bandbireland.com/accommodation/26370/crossriver-b-b,35391552676,-9.3225495,53.4325809,Galway,Oughterard,Ireland,B&B
Camillaun Lodge,https://www.camillaun.com/,35391552678,-9.319097,53.4335531,Galway,Oughterard,Ireland,B&B
Corrib View Country House,https://www.bandbireland.com/accommodation/27104/corrib-view-country-house,35391552345,-9.26982,53.425799,Galway,Oughterard,Ireland,B&B
Gleann Treasna,,+353(0)91572474,-9.54573,53.260243,Galway,Rossaveal,Republic of Ireland,B&B
Errisbeg Lodge,http://www.errisbeglodge.com,+353(0)9535807,-9.952294,53.384581,Galway,Roundstone,Republic of Ireland,B&B
Rush Lake House,http://www.rushlakehouse.com,+353(0)9535915,-9.924923,53.391558,Galway,Roundstone,Republic of Ireland,B&B
Screebe House,http://screebe.com/,+353(0)91574110,-9.55702568,53.38423775,Galway,Connemara,Republic of Ireland,"B&B,B&Bs,Historic House"
Briseadh na Carraige,http://www.galwaybay.com,+353(0)91553212,-9.259394,53.246601,Galway,Spiddal,Republic of Ireland,B&B
Ardmor Country House,http://www.ardmorcountryhouse.com/,+353(0)91553145,-9.320589,53.243639,Galway,Spiddal,Republic of Ireland,B&B
Sea Shore,http://www.seashorebandbballybunion.com,+353(0)6827986,-9.669792,52.526562,Kerry,Ballybunion,Republic of Ireland,B&B
Castle View House,http://www.castleviewhouse.com,+353(0)6843304,-9.495796,52.573061,Kerry,Ballylongford,Republic of Ireland,B&B
San Antoine,http://www.sanantoine.com,+353(0)669472521,-10.23521389,51.94159175,Kerry,Cahersiveen,Republic of Ireland,B&B
Cul Draiochta,,+353(0)669473141,-10.241932,51.93396424,Kerry,,Republic of Ireland,B&B
Glenbrook House,https://www.glenbrookhouse.com/,3.5367E+11,-9.494675,52.188597,Kerry,Killarney,Ireland,B&B
Tailors Lodge,https://www.facebook.com/Tailors-Lodge-Self-Catering-Accommodation-163739220374165/,3.53667E+11,-9.457987,52.221184,Kerry,Castleisland,Republic of Ireland,"Self Catering Accommodation,Welcome Standard"
Castlemaine House,,+353(0)669767361,-9.702593,52.167968,Kerry,Castlemaine,Republic of Ireland,B&B
Mount Brandon Lodge,http://www.dingleway.com/accommodation/cloghane-bed-breakfast-mount-brandon-lodge.php?page=details,+353(0)667138117,-10.18171502,52.23621045,Kerry,Cloghane,Republic of Ireland,B&B
Coill An Rois,http://www.dinglebb.com,+353(0)669155475,-10.329186,52.216962,Kerry,Dingle,Republic of Ireland,B&B
Devanes,http://www.devanesdingle.com,+353(0)669151193,-10.27266317,52.14356525,Kerry,Dingle,Republic of Ireland,B&B
Dingle Heights,http://www.dingleheights.com,+353(0)669151543,-10.28024386,52.14446625,Kerry,Dingle,Republic of Ireland,B&B
O'Neill B&B,http://www.oneillsbedandbreakfast.com,+353(0)669151639,-10.265397,52.139375,Kerry,Dingle,Republic of Ireland,B&B
Blackstones House,http://www.blackstoneshouse.com,+353(0)669760164,-9.879444,52.015517,Kerry,Glencar,Republic of Ireland,B&B
Ashfield B&B,http://www.ashfieldkenmare.com,+353(0)646642234,-9.569807,51.882638,Kerry,Kenmare,Republic of Ireland,B&B
Kenmare House B&B,http://www.kenmarehousebandb.com,+353(0)646641283,-9.596236383,51.88280604,Kerry,Kenmare,Republic of Ireland,B&B
Rockcrest House,http://www.visit-kenmare.com,+353(0)646641248,-9.588864,51.880118,Kerry,Kenmare,Republic of Ireland,B&B
